slug,title,videoUrl
lesson-01,Welcome!,https://learningenglish.voanews.com/embed/player/0/5781394.html?type=video
lesson-02,"Hello, I'm Anna!",https://learningenglish.voanews.com/embed/player/0/5781390.html?type=video
lesson-03,I'm Here!,https://learningenglish.voanews.com/embed/player/0/3345715.html?type=video
lesson-04,What Is It?,https://learningenglish.voanews.com/embed/player/0/3345722.html?type=video
lesson-05,Where Are You?,https://learningenglish.voanews.com/embed/player/0/3345738.html?type=video
lesson-06,Where Is the Gym?,https://learningenglish.voanews.com/embed/player/0/3345741.html?type=video
lesson-07,What Are You Doing?,https://learningenglish.voanews.com/embed/player/0/3345754.html?type=video
lesson-08,Are You Busy?,https://learningenglish.voanews.com/embed/player/0/3345760.html?type=video
lesson-09,Is It Cold?,https://learningenglish.voanews.com/embed/player/0/3345783.html?type=video
lesson-10,Come Over to My Place,https://learningenglish.voanews.com/embed/player/0/3369337.html?type=video
lesson-11,This Is My Neighborhood,https://learningenglish.voanews.com/embed/player/0/3345834.html?type=video
lesson-12,Meet My Family,https://learningenglish.voanews.com/embed/player/0/3345848.html?type=video
lesson-13,"Happy Birthday, William Shakespeare!",https://learningenglish.voanews.com/embed/player/0/5780971.html?type=video
lesson-14,How About This?,https://learningenglish.voanews.com/embed/player/0/5780974.html?type=video
lesson-15,I Love People-Watching!,https://learningenglish.voanews.com/embed/player/0/5780968.html?type=video
lesson-16,Where Are You From?,https://learningenglish.voanews.com/embed/player/0/5780964.html?type=video
lesson-17,Are You Free on Friday?,https://learningenglish.voanews.com/embed/player/0/5780966.html?type=video
lesson-18,She Always Does That,https://learningenglish.voanews.com/embed/player/0/5780959.html?type=video
lesson-19,When Do I Start?,https://learningenglish.voanews.com/embed/player/0/5780960.html?type=video
lesson-20,What Can You Do?,https://learningenglish.voanews.com/embed/player/0/3399192.html?type=video
lesson-21,Can You Come to the Party?,https://learningenglish.voanews.com/embed/player/0/5789593.html?type=video
lesson-22,Next Summer...,https://learningenglish.voanews.com/embed/player/0/5780945.html?type=video
lesson-23,What Do You Want?,https://learningenglish.voanews.com/embed/player/0/5780946.html?type=video
lesson-24,Yesterday Was Amazing!,https://learningenglish.voanews.com/embed/player/0/5780940.html?type=video
lesson-25,Watch Out!,https://learningenglish.voanews.com/embed/player/0/5780939.html?type=video
lesson-26,This Game Is Fun!,https://learningenglish.voanews.com/embed/player/0/5780937.html?type=video
lesson-27,I Can't Come In,https://learningenglish.voanews.com/embed/player/0/5780932.html?type=video
lesson-28,I Passed It!,https://learningenglish.voanews.com/embed/player/0/5780930.html?type=video
lesson-29,A Long Time Ago,https://learningenglish.voanews.com/embed/player/0/5780928.html?type=video
lesson-30,Rolling on the River,https://learningenglish.voanews.com/embed/player/0/5780927.html?type=video
lesson-31,Take Me Out to the Ball Game,https://learningenglish.voanews.com/embed/player/0/5780923.html?type=video
lesson-32,Welcome to the Treehouse!,https://learningenglish.voanews.com/embed/player/0/5780922.html?type=video
lesson-33,Learning America's Sport,https://learningenglish.voanews.com/embed/player/0/5780920.html?type=video
lesson-34,What Will I Do?,https://learningenglish.voanews.com/embed/player/0/3565940.html?type=video
lesson-35,Let’s Make Dinner!,https://learningenglish.voanews.com/embed/player/0/5780912.html?type=video
lesson-36,I Can Fix This!,https://learningenglish.voanews.com/embed/player/0/5780911.html?type=video
lesson-37,Let's Agree to Disagree,https://learningenglish.voanews.com/embed/player/0/5780902.html?type=video
lesson-38,She's My Best Friend!,https://learningenglish.voanews.com/embed/player/0/5780900.html?type=video
lesson-39,It’s Unbelievable!,https://learningenglish.voanews.com/embed/player/0/5780898.html?type=video
lesson-40,The Woods Are Alive,https://learningenglish.voanews.com/embed/player/0/5780896.html?type=video
lesson-41,Teamwork Works Best With a Team,https://learningenglish.voanews.com/embed/player/0/5780890.html?type=video
lesson-42,I Was Minding My Own Business,https://learningenglish.voanews.com/embed/player/0/5780888.html?type=video
lesson-43,Time for Plan B,https://learningenglish.voanews.com/embed/player/0/5780884.html?type=video
lesson-44,Making Healthy Choices,https://learningenglish.voanews.com/embed/player/0/5780880.html?type=video
lesson-45,This Land is Your Land,https://learningenglish.voanews.com/embed/player/0/5780877.html?type=video
lesson-46,May I Borrow That?,https://learningenglish.voanews.com/embed/player/0/5780870.html?type=video
lesson-47,How Can I Help?,https://learningenglish.voanews.com/embed/player/0/5780867.html?type=video
lesson-48,Have You Ever ...?,https://learningenglish.voanews.com/embed/player/0/5780864.html?type=video
lesson-49,Operation Spy!,https://learningenglish.voanews.com/embed/player/0/5780859.html?type=video
lesson-50,Back to School,https://learningenglish.voanews.com/embed/player/0/5780856.html?type=video
lesson-51,A Good Habit,https://learningenglish.voanews.com/embed/player/0/5780853.html?type=video
lesson-52,Taking Chances,https://learningenglish.voanews.com/embed/player/0/5780794.html?type=video
